entry_point,image_base,size_of_image,size_code_section,dll_flag,num_sections,entropia_max,entropia_media,num_importaciones,num_dlls_importadas,num_exportaciones,file_size,label
3626,436815241,49643,8350,56624,9,7.697371404765342,6.96043098182202,21,3,0,71244,1
9442,4194304,3655456,1266940,256,3,5.157617016881452,4.156355889210944,153,13,1,2340692,0
14017,16777216,3797014,562973,256,5,6.184978973183865,4.784761503431261,82,18,4,3640026,0
12815,16777216,3826945,1422021,320,6,4.566263954827939,5.474680327255312,212,7,0,564598,0
11737,16777216,2489450,1949256,256,4,4.331128495360511,5.157861962974932,246,13,0,2012694,0
12394,16777216,386620,225533,320,3,5.769563260424594,4.284833700434108,112,12,3,1006633,0
9768,16777216,3627541,1846007,288,3,6.029690276468482,4.488149255951347,80,12,0,3602622,0
3930,2985021920,90873,31944,18788,1,7.933844589127774,7.5806393453011065,17,3,0,14373,1
8099,4194304,2773686,416675,256,5,5.384405235663065,4.07760213363156,196,14,0,305086,0
14990,16777216,4259874,245124,288,5,5.7168104988951285,5.436092850364122,233,16,2,1582877,0
10812,16777216,4020933,981851,352,3,5.759341549109421,5.273611878561264,72,12,1,946132,0
9548,16777216,4971632,1249912,256,3,5.5636602219323095,5.4677893275523335,215,9,1,3522629,0
12983,16777216,306021,410069,320,6,4.779428646944792,3.51356319880261,96,19,0,3140434,0
9061,4194304,3775692,284271,288,4,5.0407837218295,5.433475149344152,176,10,0,1694090,0
14986,4194304,3378283,1346370,288,3,5.70107765273114,5.251451503332885,123,7,3,3545287,0
10022,4194304,4620567,153005,256,5,4.689163584467916,4.999844323001517,67,6,3,819363,0
10635,16777216,2272408,306985,288,3,6.054676157246751,4.883842951204835,74,5,1,1545045,0
11156,4194304,2546189,556659,288,4,5.117997412308838,4.782379660444829,57,18,1,182026,0
1692,2651107306,173106,5796,44812,11,7.633509720899507,7.227136976737381,2,1,1,13767,1
2046,3507259321,169881,35794,54271,1,7.542696539247755,7.430628845483301,29,2,1,27892,1
11737,4194304,3248555,183461,320,3,4.010707026582337,5.2834036224504075,115,14,1,2509903,0
1043,363651978,176999,28804,10789,10,7.99520757232153,7.49705377602802,7,2,1,29457,1
3352,776620005,130470,9342,19034,2,7.667510833351855,7.194442738731324,6,2,1,31636,1
10927,16777216,3948400,1977010,256,5,5.421649544620806,4.991371584203303,134,13,0,353106,0
1399,3421984448,65590,34415,47892,9,7.223296765567869,6.897964620786105,6,2,0,50668,1
5813,16777216,1400381,1515441,352,3,6.4664751898052275,5.189460115762136,183,19,0,926107,0
4401,4194304,1838429,871666,256,5,4.433271899739791,4.879880059224146,71,10,0,139973,0
15759,4194304,1039025,1108925,320,3,4.353483570194415,3.84639417326639,203,16,3,3918169,0
12975,4194304,1313511,19937,320,4,5.458733878673941,4.61104581421167,241,11,3,2114372,0
9544,16777216,4478705,1505523,256,3,5.634932866792329,3.748885055659129,143,19,0,4805138,0
10302,4194304,4234901,958257,320,4,4.437963493127647,3.62092714785073,160,18,4,2012106,0
5685,16777216,695634,862520,320,3,4.880101325108552,4.928598824386228,205,12,1,3710970,0
7564,4194304,3460971,666421,256,4,4.558306470404851,4.7495280202609,158,6,2,2637817,0
6223,16777216,4852497,942126,288,3,4.669121837649631,4.994182525871546,125,13,2,242131,0
15405,4194304,4524284,923962,352,3,5.792396489736185,3.916341882609244,218,9,2,4237659,0
15895,16777216,2398043,757838,256,3,6.4516006878564705,4.0470986270529945,103,11,3,4210258,0
300,1258980728,54303,43896,62983,9,7.787461544143583,6.926494368995639,17,1,1,27492,1
6967,16777216,516990,415986,288,6,4.2854610101613,3.7889027990385467,91,9,2,3059880,0
9229,16777216,1273251,1422077,320,3,4.9614101678273,5.177787038615704,132,17,4,3783054,0
12213,16777216,1221043,909470,352,4,6.473599766749362,3.721480280545384,217,11,3,1799567,0
14603,16777216,2233260,1526754,288,4,4.827301949536166,3.510839599636396,109,8,0,4836328,0
2079,2204348348,177904,22182,20290,10,7.408112888235323,7.351367962154058,28,1,1,36138,1
10166,16777216,3748025,1208217,320,3,6.310311622460539,5.325399981483363,241,11,1,2643441,0
15460,16777216,1122280,1059814,256,5,6.343400803946961,5.227697123703683,81,12,2,3479415,0
888,294305403,89645,39709,23440,10,7.326189178920784,7.713788066644853,25,1,0,47928,1
11755,16777216,2990257,374556,288,5,6.303076256795922,5.222484088803663,230,6,4,583361,0
7141,4194304,4068174,116116,256,3,4.5873638631326745,5.072780461404632,166,9,1,1856660,0
7423,16777216,4130856,1641119,320,3,6.445925555556192,3.627503472834606,52,11,3,2171501,0
